script,thai,rtgs,english
ก,ก ไก่,ko kai,chicken
ข,ข ไข่,kho khai,egg
ฃ,ฃ ขวด,kho khuat,bottle (no longer in use)
ค,คควาย,kho khwai,buffalo
ฅ,ฅ คน,kho khon,person (no longer in use)
ฆ,ฆระฆัง,kho ra-khang,bell
ง,ง งู,ngo ngu,snake
จ,จ จาน,cho chan,plate
ฉ,ฉ ฉิ่ง,cho ching,cymbals
ช,ช ช้าง,cho chang,elephant
ซ,ซ โซ่,so so,chain
ฌ,ฌเฌอ,cho choe,tree
ญ,ญหญิง,yo ying,woman
ฎ,ฎชฎา,do cha-da,headdress
ฏ,ฏปฏัก,to pa-tak,goad
ฐ,ฐ ฐาน,tho than,pedestal
ฑ,ฑมณโฑ,tho montho,Montho
ฒ,ฒ ผู้เฒ่า,tho phu-thao,elder
ณ,ณเณร,no nen,novice monk
ด,ด เด็ก,do dek,child
ต,ต เต่า,to tao,turtle
ถ,ถ ถุง,tho thung,sack
ท,ททหาร,tho thahan,soldier
ธ,ธ ธง,tho thong,flag
น,น หนู,no nu,mouse
บ,บใบไม้,bo baimai,leaf
ป,ปปลา,po pla,fish
ผ,ผ ผึ้ง,pho phueng,bee
ฝ,ฝ ฝา,fo fa,lid
พ,พพาน,pho phan,tray
ฟ,ฟ ฟัน,fo fan,teeth
ภ,ภสำเภา,pho sam-phao,junk boat
ม,ม ม้า,mo ma,horse
ย,ยยักษ์,yo yak,giant
ร,ร เรือ,ro ruea,boat
ล,ล ลิง,lo ling,monkey
ว,วแหวน,wo waen,ring
ศ,ศศาลา,so sala,pavilion
ษ,ษ ฤๅษี,so rue-si,hermit
ส,ส เสือ,so suea,tiger
ห,ห หีบ,ho hip,chest
ฬ,ฬจุฬา,lo chu-la,kite
อ,อ อ่าง,o ang,basin
ฮ,ฮ นกฮูก,ho nok-huk,owl
